Week 1,,,
Time,A,B,C,D
6:30,1-2,9-10,4-12,3-5
7:40,6-7,8-11,2-4,5-10
8:50,6-8,7-11,1-12,3-9

Week 2,,,
Time,A,B,C,D
6:30,4-9,5-11,1-7,2-8
7:40,3-6,10-12,1-11,8-9
8:50,4-6,2-3,5-12,7-10

Week 3,,,
Time,A,B,C,D
6:30,1-5,2-9,7-12,3-11
7:40,6-10,4-8,3-7,11-12
8:50,4-10,2-6,1-9,5-8

Week 4,,,
Time,A,B,C,D
6:30,5-9,4-7,3-10,8-12
7:40,1-6,2-11,3-8,5-7
8:50,6-12,2-10,1-4,9-11

Week 5,,,
Time,A,B,C,D
6:30,10-11,1-8,3-12,2-7
7:40,5-6,9-12,1-10,3-4
8:50,6-9,2-5,4-11,7-8

Week 6,,,
Time,A,B,C,D
6:30,7-9,8-10,1-3,2-12
7:40,6-11,4-5,1-2,9-10
8:50,6-8,3-5,7-11,4-12

Week 7,,,
Time,A,B,C,D
6:30,2-3,4-9,1-11,5-10
7:40,4-6,2-8,5-12,1-7
8:50,6-7,10-12,8-11,3-9

Week 8,,,
Time,A,B,C,D
6:30,2-9,4-8,5-11,7-10
7:40,3-6,1-12,2-4,8-9
8:50,3-11,6-10,1-5,7-12

Week 9,,,
Time,A,B,C,D
6:30,8-12,2-11,4-10,3-7
7:40,1-6,5-9,4-7,11-12
8:50,2-6,5-8,1-9,3-10

Week 10,,,
Time,A,B,C,D
6:30,9-12,4-11,1-8,5-7
7:40,6-9,10-11,2-7,3-8
8:50,2-5,6-12,3-4,1-10

Week 11,,,
Time,A,B,C,D
6:30,9-11,4-5,1-3,8-10
7:40,5-6,2-10,3-12,7-9
8:50,6-11,7-8,1-4,2-12
